INDUSTRY,QUARTER,YEAR,ACTION,VALUE_%
Wood and products of wood,4,2015,UTILISATION,82.3
Wood and products of wood,1,2016,UTILISATION,82.1
Wood and products of wood,2,2016,UTILISATION,83.5
Wood and products of wood,3,2016,UTILISATION,86.0
Wood and products of wood,4,2016,UTILISATION,86.0
Wood and products of wood,1,2017,UTILISATION,84.9
Wood and products of wood,2,2017,UTILISATION,83.5
Wood and products of wood,3,2017,UTILISATION,83.9
Wood and products of wood,4,2017,UTILISATION,83.3
Wood and products of wood,1,2018,UTILISATION,83.8
Wood and products of wood,2,2018,UTILISATION,83.5
Wood and products of wood,3,2018,UTILISATION,82.1
Wood and products of wood,4,2018,UTILISATION,78.8
Wood and products of wood,1,2019,UTILISATION,82.7
Wood and products of wood,2,2019,UTILISATION,82.4
Wood and products of wood,3,2019,UTILISATION,82.6
Wood and products of wood,4,2019,UTILISATION,81.6
Wood and products of wood,1,2020,UTILISATION,81.7
Wood and products of wood,2,2020,UTILISATION,57.1
Wood and products of wood,3,2020,UTILISATION,79.1
Wood and products of wood,4,2020,UTILISATION,83.0
Wood and products of wood,1,2021,UTILISATION,83.7
Wood and products of wood,2,2021,UTILISATION,84.0
Wood and products of wood,3,2021,UTILISATION,83.5
Wood and products of wood,4,2021,UTILISATION,83.5
Paper and paper products,4,2003,UTILISATION,89.0
Paper and paper products,1,2004,UTILISATION,89.2
Paper and paper products,2,2004,UTILISATION,87.0
Paper and paper products,3,2004,UTILISATION,92.6
Paper and paper products,4,2004,UTILISATION,91.0
Paper and paper products,1,2005,UTILISATION,85.1
Paper and paper products,2,2005,UTILISATION,84.8
Paper and paper products,3,2005,UTILISATION,87.1
Paper and paper products,4,2005,UTILISATION,88.8
Paper and paper products,1,2006,UTILISATION,85.5
Paper and paper products,2,2006,UTILISATION,87.5
Paper and paper products,3,2006,UTILISATION,93.2
Paper and paper products,4,2006,UTILISATION,92.8
Paper and paper products,1,2007,UTILISATION,90.4
Paper and paper products,2,2007,UTILISATION,91.4
Paper and paper products,3,2007,UTILISATION,89.2
Paper and paper products,4,2007,UTILISATION,93.5
Paper and paper products,1,2008,UTILISATION,91.2
Paper and paper products,2,2008,UTILISATION,91.8
Paper and paper products,3,2008,UTILISATION,92.0
Paper and paper products,4,2008,UTILISATION,92.8
Paper and paper products,1,2009,UTILISATION,87.2
Paper and paper products,2,2009,UTILISATION,88.1
Paper and paper products,3,2009,UTILISATION,85.3
Paper and paper products,4,2009,UTILISATION,88.3
Paper and paper products,1,2010,UTILISATION,85.4
Paper and paper products,2,2010,UTILISATION,87.4
Paper and paper products,3,2010,UTILISATION,88.0
Paper and paper products,4,2010,UTILISATION,89.1
Paper and paper products,1,2011,UTILISATION,83.7
Paper and paper products,2,2011,UTILISATION,84.2
Paper and paper products,3,2011,UTILISATION,84.8
Paper and paper products,4,2011,UTILISATION,89.0
Paper and paper products,1,2012,UTILISATION,84.6
Paper and paper products,2,2012,UTILISATION,85.4
Paper and paper products,3,2012,UTILISATION,86.4
